y,x,street_count,highway,ref,geometry
27.4847904,-99.383215,3,,,POINT (-99.383215 27.4847904)
27.5282602,-99.4346626,3,,,POINT (-99.4346626 27.5282602)
27.7179779,-99.7340578,3,,,POINT (-99.7340578 27.7179779)
27.6131575,-99.5298057,3,,,POINT (-99.5298057 27.6131575)
27.6138184,-99.5301168,3,,,POINT (-99.5301168 27.6138184)
27.383279,-99.488299,1,,,POINT (-99.488299 27.383279)
27.385164,-99.474703,1,,,POINT (-99.474703 27.385164)
27.403893,-99.485537,1,,,POINT (-99.485537 27.403893)
27.412476,-99.484866,1,,,POINT (-99.484866 27.412476)
27.413842,-99.484301,3,,,POINT (-99.484301 27.413842)
27.6590014,-99.5783293,3,,,POINT (-99.5783293 27.6590014)
27.405266,-99.484396,1,,,POINT (-99.484396 27.405266)
27.5836997,-99.5155337,3,,,POINT (-99.5155337 27.5836997)
27.4846873,-99.3977546,3,,,POINT (-99.3977546 27.4846873)
27.484904,-99.3768444,3,,,POINT (-99.3768444 27.484904)
27.483032,-99.3767605,1,,,POINT (-99.3767605 27.483032)
27.4848498,-99.3801692,3,,,POINT (-99.3801692 27.4848498)
27.4823259,-99.3800482,1,,,POINT (-99.3800482 27.4823259)
27.4007786,-99.4680366,3,,,POINT (-99.4680366 27.4007786)
27.6560461,-99.6388445,4,,,POINT (-99.6388445 27.6560461)
27.4962298,-99.448005,3,,,POINT (-99.448005 27.4962298)
27.66278,-99.515305,1,,,POINT (-99.515305 27.66278)
27.5291179,-99.4277731,4,,,POINT (-99.4277731 27.5291179)
27.400977,-99.482814,1,,,POINT (-99.482814 27.400977)
27.5925785,-99.5151668,3,,,POINT (-99.5151668 27.5925785)
27.592302,-99.5159028,4,,,POINT (-99.5159028 27.592302)
27.5284163,-99.4500698,3,,,POINT (-99.4500698 27.5284163)
27.4848202,-99.3815747,3,,,POINT (-99.3815747 27.4848202)
27.4853204,-99.350674,3,,,POINT (-99.350674 27.4853204)
27.487566,-99.35049,3,,,POINT (-99.35049 27.487566)
27.494556,-99.350504,1,,,POINT (-99.350504 27.494556)
27.48896,-99.351065,1,,,POINT (-99.351065 27.48896)
27.5318192,-99.5024904,3,,,POINT (-99.5024904 27.5318192)
27.4877119,-99.4092029,3,,,POINT (-99.4092029 27.4877119)
27.4853449,-99.4091231,1,,,POINT (-99.4091231 27.4853449)
27.5111537,-99.487612,4,,,POINT (-99.487612 27.5111537)
27.5102481,-99.4865734,4,,,POINT (-99.4865734 27.5102481)
27.5321312,-99.4478924,3,,,POINT (-99.4478924 27.5321312)
27.5308647,-99.4471411,1,,,POINT (-99.4471411 27.5308647)
27.4496654,-99.4920955,4,,,POINT (-99.4920955 27.4496654)
27.5640317,-99.5094646,1,,,POINT (-99.5094646 27.5640317)
27.6234258,-99.5268839,4,traffic_signals,,POINT (-99.5268839 27.6234258)
27.4850306,-99.3698576,3,,,POINT (-99.3698576 27.4850306)
27.3812452,-99.4727662,3,,,POINT (-99.4727662 27.3812452)
27.5519838,-99.5037695,3,motorway_junction,3B,POINT (-99.5037695 27.5519838)
27.5548749,-99.5032894,3,,,POINT (-99.5032894 27.5548749)
27.5191529,-99.5167272,1,,,POINT (-99.5167272 27.5191529)
27.6648729,-99.6584787,2,,,POINT (-99.6584787 27.6648729)
27.6662184,-99.6575918,4,,,POINT (-99.6575918 27.6662184)
27.5294319,-99.503362,3,,,POINT (-99.503362 27.5294319)
27.5381363,-99.5027716,3,motorway_junction,3A,POINT (-99.5027716 27.5381363)
27.5422673,-99.5033003,3,,,POINT (-99.5033003 27.5422673)
27.405199,-99.482521,1,,,POINT (-99.482521 27.405199)
27.400172,-99.48821,1,,,POINT (-99.48821 27.400172)
27.420973,-99.468471,1,,,POINT (-99.468471 27.420973)
27.5607969,-99.503438,3,motorway_junction,4,POINT (-99.503438 27.5607969)
27.4848161,-99.3819163,3,,,POINT (-99.3819163 27.4848161)
27.4827735,-99.4506854,3,,,POINT (-99.4506854 27.4827735)
27.5778164,-99.5090379,3,,,POINT (-99.5090379 27.5778164)
27.6728924,-99.669743,3,,,POINT (-99.669743 27.6728924)
27.6782814,-99.680838,4,,,POINT (-99.680838 27.6782814)
27.568956,-99.4898175,3,,,POINT (-99.4898175 27.568956)
27.5690644,-99.4891163,3,,,POINT (-99.4891163 27.5690644)
27.420155,-99.489199,1,,,POINT (-99.489199 27.420155)
27.658332,-99.596814,3,,,POINT (-99.596814 27.658332)
27.657086,-99.597051,1,,,POINT (-99.597051 27.657086)
27.4923893,-99.4678838,3,,,POINT (-99.4678838 27.4923893)
27.579715,-99.4509623,3,,,POINT (-99.4509623 27.579715)
27.547069,-99.4977747,3,,,POINT (-99.4977747 27.547069)
27.5509894,-99.4969779,2,,,POINT (-99.4969779 27.5509894)
27.5459019,-99.5027204,3,,,POINT (-99.5027204 27.5459019)
27.5482461,-99.5037109,3,,,POINT (-99.5037109 27.5482461)
27.5408658,-99.4797291,3,,,POINT (-99.4797291 27.5408658)
27.479178,-99.4247321,3,,,POINT (-99.4247321 27.479178)
27.6513702,-99.6290922,3,,,POINT (-99.6290922 27.6513702)
27.655558,-99.639901,3,,,POINT (-99.639901 27.655558)
27.4468603,-99.463222,3,,,POINT (-99.463222 27.4468603)
27.4478992,-99.4632729,1,turning_circle,,POINT (-99.4632729 27.4478992)
27.5254731,-99.502885,3,motorway_junction,2,POINT (-99.502885 27.5254731)
27.4923506,-99.4264209,3,,,POINT (-99.4264209 27.4923506)
27.4995428,-99.4265451,1,,,POINT (-99.4265451 27.4995428)
27.643476,-99.5452063,4,,,POINT (-99.5452063 27.643476)
27.5278324,-99.4296666,4,,,POINT (-99.4296666 27.5278324)
27.5271701,-99.4296618,3,,,POINT (-99.4296618 27.5271701)
27.485302,-99.3521802,3,,,POINT (-99.3521802 27.485302)
27.5019963,-99.4692373,4,traffic_signals,,POINT (-99.4692373 27.5019963)
27.5609721,-99.4858728,3,,,POINT (-99.4858728 27.5609721)
27.5605396,-99.4856568,1,turning_circle,,POINT (-99.4856568 27.5605396)
27.4794031,-99.4537494,3,,,POINT (-99.4537494 27.4794031)
27.4513109,-99.4607231,4,,,POINT (-99.4607231 27.4513109)
27.621252,-99.5410398,4,,,POINT (-99.5410398 27.621252)
27.6204315,-99.5408806,4,,,POINT (-99.5408806 27.6204315)
27.6198453,-99.5408373,3,,,POINT (-99.5408373 27.6198453)
27.461615,-99.4811394,3,,,POINT (-99.4811394 27.461615)
27.4608792,-99.4811211,4,,,POINT (-99.4811211 27.4608792)
27.4591393,-99.4810873,3,,,POINT (-99.4810873 27.4591393)
27.5773128,-99.481321,3,,,POINT (-99.481321 27.5773128)
27.577436,-99.4799752,3,,,POINT (-99.4799752 27.577436)
27.5587232,-99.4897967,4,,,POINT (-99.4897967 27.5587232)
27.5583535,-99.4896142,1,,,POINT (-99.4896142 27.5583535)
27.4767813,-99.4705251,3,,,POINT (-99.4705251 27.4767813)
27.4767877,-99.4694965,4,,,POINT (-99.4694965 27.4767877)
27.4767941,-99.4684679,4,,,POINT (-99.4684679 27.4767941)
27.4768005,-99.4674393,4,,,POINT (-99.4674393 27.4768005)
27.4768069,-99.4664107,4,,,POINT (-99.4664107 27.4768069)
27.4768133,-99.4653821,4,,,POINT (-99.4653821 27.4768133)
27.4768197,-99.4643535,4,,,POINT (-99.4643535 27.4768197)
27.4768261,-99.4633249,4,,,POINT (-99.4633249 27.4768261)
27.4768325,-99.4622963,3,,,POINT (-99.4622963 27.4768325)
27.4746403,-99.4556113,4,,,POINT (-99.4556113 27.4746403)
27.475596,-99.45564,3,,,POINT (-99.45564 27.475596)
27.4764032,-99.4556516,3,,,POINT (-99.4556516 27.4764032)
27.4768813,-99.4556672,3,,,POINT (-99.4556672 27.4768813)
27.5378826,-99.493714,3,,,POINT (-99.493714 27.5378826)
27.5378982,-99.4927026,4,,,POINT (-99.4927026 27.5378982)
27.5378921,-99.4916742,3,,,POINT (-99.4916742 27.5378921)
27.5382075,-99.4916737,3,,,POINT (-99.4916737 27.5382075)
27.5374513,-99.4942066,3,,,POINT (-99.4942066 27.5374513)
27.537462,-99.4950391,3,,,POINT (-99.4950391 27.537462)
27.5374527,-99.4958498,3,,,POINT (-99.4958498 27.5374527)
27.5374503,-99.4966697,3,,,POINT (-99.4966697 27.5374503)
27.59409,-99.4675492,3,,,POINT (-99.4675492 27.59409)
27.5386665,-99.4879008,1,turning_circle,,POINT (-99.4879008 27.5386665)
27.5385873,-99.4874062,3,,,POINT (-99.4874062 27.5385873)
27.5395978,-99.4863345,3,,,POINT (-99.4863345 27.5395978)
27.5400455,-99.4862515,3,,,POINT (-99.4862515 27.5400455)
27.5286646,-99.5179882,3,,,POINT (-99.5179882 27.5286646)
27.5286611,-99.5172856,1,turning_circle,,POINT (-99.5172856 27.5286611)
27.5263307,-99.5033934,3,,,POINT (-99.5033934 27.5263307)
27.5263409,-99.5044274,4,,,POINT (-99.5044274 27.5263409)
27.5263503,-99.505393,4,,,POINT (-99.505393 27.5263503)
27.5263594,-99.5063102,4,,,POINT (-99.5063102 27.5263594)
27.5263687,-99.5072578,4,,,POINT (-99.5072578 27.5263687)
27.526378,-99.5082086,4,,,POINT (-99.5082086 27.526378)
27.5263873,-99.5091562,4,,,POINT (-99.5091562 27.5263873)
27.5263966,-99.510101,4,,,POINT (-99.510101 27.5263966)
27.5264058,-99.5110349,3,,,POINT (-99.5110349 27.5264058)
27.5264151,-99.5119837,3,,,POINT (-99.5119837 27.5264151)
27.5264691,-99.5190412,3,,,POINT (-99.5190412 27.5264691)
27.526472,-99.5200802,4,,,POINT (-99.5200802 27.526472)
27.5262655,-99.5006102,3,,,POINT (-99.5006102 27.5262655)
27.5262875,-99.501555,4,,,POINT (-99.501555 27.5262875)
27.5263112,-99.5025342,3,,,POINT (-99.5025342 27.5263112)
27.5533811,-99.4848465,3,,,POINT (-99.4848465 27.5533811)
27.5532097,-99.4836872,3,,,POINT (-99.4836872 27.5532097)
27.5941606,-99.5177382,3,,,POINT (-99.5177382 27.5941606)
27.5944457,-99.5169546,4,,,POINT (-99.5169546 27.5944457)
27.5947386,-99.5161787,3,,,POINT (-99.5161787 27.5947386)
27.5241434,-99.495826,4,,,POINT (-99.495826 27.5241434)
27.5241418,-99.4947827,4,,,POINT (-99.4947827 27.5241418)
27.5241402,-99.49375,4,,,POINT (-99.49375 27.5241402)
27.5241387,-99.4927246,4,,,POINT (-99.4927246 27.5241387)
27.5241372,-99.4917016,3,,,POINT (-99.4917016 27.5241372)
27.5241366,-99.4913534,3,,,POINT (-99.4913534 27.5241366)
27.5241356,-99.4906786,3,,,POINT (-99.4906786 27.5241356)
27.5241408,-99.4901372,3,,,POINT (-99.4901372 27.5241408)
27.5241416,-99.48964,3,,,POINT (-99.48964 27.5241416)
27.5241401,-99.4886241,3,,,POINT (-99.4886241 27.5241401)
27.5241311,-99.4875916,3,,,POINT (-99.4875916 27.5241311)
27.5241294,-99.4865642,4,,,POINT (-99.4865642 27.5241294)
27.5241278,-99.4855325,4,,,POINT (-99.4855325 27.5241278)
27.5241263,-99.4844953,3,,,POINT (-99.4844953 27.5241263)
27.5241247,-99.4834436,4,,,POINT (-99.4834436 27.5241247)
27.5241231,-99.4824006,4,,,POINT (-99.4824006 27.5241231)
27.5241225,-99.4819758,3,,,POINT (-99.4819758 27.5241225)
27.5241215,-99.4813808,3,,,POINT (-99.4813808 27.5241215)
27.5241211,-99.4811019,3,,,POINT (-99.4811019 27.5241211)
27.52412,-99.4803469,4,traffic_signals,,POINT (-99.4803469 27.52412)
27.5241184,-99.4792987,3,,,POINT (-99.4792987 27.5241184)
27.5241177,-99.4787996,3,,,POINT (-99.4787996 27.5241177)
27.5241169,-99.4782822,3,,,POINT (-99.4782822 27.5241169)
27.5241153,-99.4772226,3,,,POINT (-99.4772226 27.5241153)
27.5241106,-99.4741722,3,,,POINT (-99.4741722 27.5241106)
27.5241086,-99.4731467,4,,,POINT (-99.4731467 27.5241086)
27.5241071,-99.4721168,4,,,POINT (-99.4721168 27.5241071)
27.5241055,-99.4710868,4,,,POINT (-99.4710868 27.5241055)
27.5241051,-99.4700602,4,,,POINT (-99.4700602 27.5241051)
27.5241035,-99.4690309,4,,,POINT (-99.4690309 27.5241035)
27.5241018,-99.4680015,4,,,POINT (-99.4680015 27.5241018)
27.5241001,-99.4669722,4,,,POINT (-99.4669722 27.5241001)
27.5240984,-99.4659429,4,,,POINT (-99.4659429 27.5240984)
27.5240968,-99.4649135,4,,,POINT (-99.4649135 27.5240968)
27.5240951,-99.4638842,4,,,POINT (-99.4638842 27.5240951)
27.5240938,-99.4630414,1,,,POINT (-99.4630414 27.5240938)
27.6094772,-99.5289514,4,,,POINT (-99.5289514 27.6094772)
27.6097622,-99.5281979,4,,,POINT (-99.5281979 27.6097622)
27.6025341,-99.4582635,3,,,POINT (-99.4582635 27.6025341)
27.6032192,-99.4585844,4,,,POINT (-99.4585844 27.6032192)
27.6039589,-99.458911,3,,,POINT (-99.458911 27.6039589)
27.5878191,-99.4662321,1,,,POINT (-99.4662321 27.5878191)
27.5896464,-99.4666973,3,,,POINT (-99.4666973 27.5896464)
27.5962778,-99.4745216,3,,,POINT (-99.4745216 27.5962778)
27.59508,-99.4739532,3,,,POINT (-99.4739532 27.59508)
27.5936733,-99.473268,3,,,POINT (-99.473268 27.5936733)
27.5020094,-99.489685,3,,,POINT (-99.489685 27.5020094)
27.5020086,-99.4886432,4,,,POINT (-99.4886432 27.5020086)
27.5020079,-99.4876173,3,,,POINT (-99.4876173 27.5020079)
27.5020072,-99.4865862,4,,,POINT (-99.4865862 27.5020072)
27.5020064,-99.4855407,4,,,POINT (-99.4855407 27.5020064)
27.5020057,-99.4845373,4,,,POINT (-99.4845373 27.5020057)
27.502005,-99.4834854,4,,,POINT (-99.4834854 27.502005)
27.5020042,-99.4824494,4,,,POINT (-99.4824494 27.5020042)
27.5020035,-99.4814141,4,,,POINT (-99.4814141 27.5020035)
27.5020028,-99.4803882,4,,,POINT (-99.4803882 27.5020028)
27.5020057,-99.4793614,4,,,POINT (-99.4793614 27.5020057)
27.5020013,-99.4783244,3,,,POINT (-99.4783244 27.5020013)
27.5020006,-99.4772925,3,,,POINT (-99.4772925 27.5020006)
27.5019944,-99.4752417,4,,,POINT (-99.4752417 27.5019944)
27.5019998,-99.4742073,4,,,POINT (-99.4742073 27.5019998)
27.5019923,-99.4731891,4,,,POINT (-99.4731891 27.5019923)
27.5019964,-99.4721514,4,,,POINT (-99.4721514 27.5019964)
27.5020004,-99.4711292,4,,,POINT (-99.4711292 27.5020004)
27.5019923,-99.4701169,4,,,POINT (-99.4701169 27.5019923)
27.5019686,-99.4649595,3,,,POINT (-99.4649595 27.5019686)
27.5019757,-99.4639287,3,,,POINT (-99.4639287 27.5019757)
27.5019997,-99.4938809,4,,,POINT (-99.4938809 27.5019997)
27.5020267,-99.4935193,1,,,POINT (-99.4935193 27.5020267)
27.5758885,-99.4956124,3,,,POINT (-99.4956124 27.5758885)
27.5419135,-99.4780428,3,,,POINT (-99.4780428 27.5419135)
27.5416773,-99.4781473,3,,,POINT (-99.4781473 27.5416773)
27.4290274,-99.4675588,4,,,POINT (-99.4675588 27.4290274)
27.4295331,-99.4611024,4,,,POINT (-99.4611024 27.4295331)
27.4292702,-99.4751212,3,,,POINT (-99.4751212 27.4292702)
27.539552,-99.4925914,4,,,POINT (-99.4925914 27.539552)
27.5394108,-99.491624,1,,,POINT (-99.491624 27.5394108)
27.5402225,-99.4945928,3,,,POINT (-99.4945928 27.5402225)
